"Index"	"Gene"
G1	YBR083W
G2	YDR098CB
G3	YHR084W
G4	YKL096WA
G5	YKR041W
G6	YLL065W
G7	YMR065W
G8	YMR164C
G9	YPR158WA
G10	YCL067C
G11	YCL066W
G12	YDR103W
G13	YCR065W
G14	YAR064W
G15	YCR019W
G16	YDL025C
G17	YDL110C
G18	YGL209W
G19	YGR288W
G20	YLR090W
G21	YNR016C
G22	YCR097W
G23	YCR040W
G24	YCR106W
G25	YMR125W
G26	YDR034C
G27	YIR034C
G28	YDR146C
G29	YCR018C
G30	YDL227C
G31	YFL021W
G32	YKL185W
G33	YLR013W
G34	YOR140W
G35	YDR253C
G36	YGL254W
G37	YIR017C
G38	YDR259C
G39	YBL109W
G40	YEL009C
G41	YGR249W
G42	YIL101C
G43	YIR021WA
G44	YIR038C
G45	YKL109W
G46	YMR016C
G47	YMR320W
G48	YOR284W
G49	YDR421W
G50	YDR381W
G51	YBR147W
G52	YER040W
G53	YER175C
G54	YGL186C
G55	YJL072C
G56	YKL015W
G57	YML076C
G58	YMR019W
G59	YNL103W
G60	YOR202W
G61	YPL112C
G62	YHL015W
G63	YIR027C
G64	YJL110C
G65	YKR034W
G66	YKR039W
G67	YLL034C
G68	YLR130C
G69	YNL142W
G70	YOR348C
G71	YKR099W
G72	YML099C
G73	YGL035C
G74	YFR053C
G75	YLR044C
G76	YGL071W
G77	YBL013W
G78	YGL181W
G79	YJR099W
G80	YMR087W
G81	YMR186W
G82	YNL167C
G83	YBR156C
G84	YCR017C
G85	YPL177C
G86	YJL089W
G87	YLR410WA
G88	YLR410WB
G89	YBR099C
G90	YKL141W
G91	YNL054WA
G92	YMR021C
G93	YJR100C
G94	YMR042W
G95	YMR070W
G96	YOL067C
G97	YOL089C
G98	YMR118C
G99	YOR113W
G100	YPL038W
