"Index"	"Gene"
G1	YBR083W
G2	YGL192W
G3	YLR084C
G4	YLR403W
G5	YMR164C
G6	YPL178W
G7	YBR112C
G8	YLR256W
G9	YDR310C
G10	YLR342WA
G11	YNL317W
G12	YPL075W
G13	YER111C
G14	YBL003C
G15	YER011W
G16	YGL179C
G17	YKL043W
G18	YKR040C
G19	YKR093W
G20	YLR255C
G21	YLR286C
G22	YML027W
G23	YMR070W
G24	YOL113W
G25	YOR140W
G26	YOR344C
G27	YGL096W
G28	YHL045W
G29	YJR060W
G30	YKL060C
G31	YLR460C
G32	YML131W
G33	YOL108C
G34	YOR032C
G35	YPL248C
G36	YGL162W
G37	YER045C
G38	YMR037C
G39	YGL181W
G40	YNL167C
G41	YGL209W
G42	YBR101C
G43	YGL254W
G44	YIL101C
G45	YIR018W
G46	YBR196C
G47	YCL066W
G48	YGL154C
G49	YJL134W
G50	YJL190C
G51	YIR023W
G52	YDL170W
G53	YJL210W
G54	YER100W
G55	YFL018C
G56	YFL031W
G57	YGR200C
G58	YJL211C
G59	YMR301C
G60	YOR099W
G61	YOR162C
G62	YBR158W
G63	YMR019W
G64	YOR028C
G65	YKL112W
G66	YBL080C
G67	YGL107C
G68	YML081W
G69	YOL116W
G70	YOR206W
G71	YPR104C
G72	YLR182W
G73	YDL101C
G74	YLR183C
G75	YBL022C
G76	YDR479C
G77	YML076C
G78	YMR267W
G79	YNL068C
G80	YOR018W
G81	YHR021C
G82	YMR143W
G83	YLR451W
G84	YJL192C
G85	YCR034W
G86	YGR028W
G87	YGR181W
G88	YMR154C
G89	YMR105C
G90	YMR105WA
G91	YOL067C
G92	YOL089C
G93	YER028C
G94	YLR228C
G95	YOL135C
G96	YPL165C
G97	YHR006W
G98	YPL038W
G99	YER130C
G100	YLL045C
